	car_ID	symboling	CarName	fueltype	aspiration	doornumber	carbody	drivewheel	enginelocation	wheelbase	carlength	carwidth	carheight	curbweight	enginetype	cylindernumber	enginesize	fuelsystem	boreratio	stroke	compressionratio	horsepower	peakrpm	citympg	highwaympg	price	Phase	Price Predictions
0	1	3	alfa-romero giulia - 1	gas	std	two	convertible	rwd	front	88.6	168.8	64.1	48.8	2548	dohc	four	130	mpfi	3.47	2.68	9.0	111	5000	21	27	13495.0	Existing data	13638.24
1	2	3	alfa-romero stelvio - 2	gas	std	two	convertible	rwd	front	88.6	168.8	64.1	48.8	2548	dohc	four	130	mpfi	3.47	2.68	9.0	111	5000	21	27	16500.0	Existing data	16345.163
2	3	1	alfa-romero Quadrifoglio - 3	gas	std	two	hatchback	rwd	front	94.5	171.2	65.5	52.4	2823	ohcv	six	152	mpfi	2.68	3.47	9.0	154	5000	19	26	16500.0	New unseen data	16276.128
3	4	2	audi 100 ls - 4	gas	std	four	sedan	fwd	front	99.8	176.6	66.2	54.3	2337	ohc	four	109	mpfi	3.19	3.4	10.0	102	5500	24	30	13950.0	Existing data	13898.884
4	5	2	audi 100ls - 5	gas	std	four	sedan	4wd	front	99.4	176.6	66.4	54.3	2824	ohc	five	136	mpfi	3.19	3.4	8.0	115	5500	18	22	17450.0	Existing data	17416.512
5	6	2	audi fox - 6	gas	std	two	sedan	fwd	front	99.8	177.3	66.3	53.1	2507	ohc	five	136	mpfi	3.19	3.4	8.5	110	5500	19	25	15250.0	Existing data	15288.632
6	7	1	audi 100ls - 7	gas	std	four	sedan	fwd	front	105.8	192.7	71.4	55.7	2844	ohc	five	136	mpfi	3.19	3.4	8.5	110	5500	19	25	17710.0	Existing data	17789.965
7	8	1	audi 5000 - 8	gas	std	four	wagon	fwd	front	105.8	192.7	71.4	55.7	2954	ohc	five	136	mpfi	3.19	3.4	8.5	110	5500	19	25	18920.0	Existing data	18875.479
8	9	1	audi 4000 - 9	gas	turbo	four	sedan	fwd	front	105.8	192.7	71.4	55.9	3086	ohc	five	131	mpfi	3.13	3.4	8.3	140	5500	17	20	23875.0	Existing data	23841.951
9	10	0	audi 5000s (diesel) - 10	gas	turbo	two	hatchback	4wd	front	99.5	178.2	67.9	52.0	3053	ohc	five	131	mpfi	3.13	3.4	7.0	160	5500	16	22	17859.167	New unseen data	19094.312
10	11	2	bmw 320i - 11	gas	std	two	sedan	rwd	front	101.2	176.8	64.8	54.3	2395	ohc	four	108	mpfi	3.5	2.8	8.8	101	5800	23	29	16430.0	Existing data	16526.223
11	12	0	bmw 320i - 12	gas	std	four	sedan	rwd	front	101.2	176.8	64.8	54.3	2395	ohc	four	108	mpfi	3.5	2.8	8.8	101	5800	23	29	16925.0	Existing data	16713.863
12	13	0	bmw x1 - 13	gas	std	two	sedan	rwd	front	101.2	176.8	64.8	54.3	2710	ohc	six	164	mpfi	3.31	3.19	9.0	121	4250	21	28	20970.0	New unseen data	20521.521
13	14	0	bmw x3 - 14	gas	std	four	sedan	rwd	front	101.2	176.8	64.8	54.3	2765	ohc	six	164	mpfi	3.31	3.19	9.0	121	4250	21	28	21105.0	Existing data	21196.582
14	15	1	bmw z4 - 15	gas	std	four	sedan	rwd	front	103.5	189.0	66.9	55.7	3055	ohc	six	164	mpfi	3.31	3.19	9.0	121	4250	20	25	24565.0	Existing data	24375.59
15	16	0	bmw x4 - 16	gas	std	four	sedan	rwd	front	103.5	189.0	66.9	55.7	3230	ohc	six	209	mpfi	3.62	3.39	8.0	182	5400	16	22	30760.0	Existing data	30788.42
16	17	0	bmw x5 - 17	gas	std	two	sedan	rwd	front	103.5	193.8	67.9	53.7	3380	ohc	six	209	mpfi	3.62	3.39	8.0	182	5400	16	22	41315.0	Existing data	41095.27
17	18	0	bmw x3 - 18	gas	std	four	sedan	rwd	front	110.0	197.0	70.9	56.3	3505	ohc	six	209	mpfi	3.62	3.39	8.0	182	5400	15	20	36880.0	Existing data	36951.008
